"","OrderTime","Description","Conid","TradeDate","Currency","Buy.Sell","Quantity","TradePrice","Proceeds","ClientId","Fx","SoumisSuisse","SoumisEtr","NonSoumis","cliNbr"
"121","20170524;100906","EATON CORP PLC","118017869",2017-05-24,"USD","VTE",-246,77.784,19134.9306,"U1427234",0.97311,0,18620,0,2
"122","20170524;100906","EATON CORP PLC","118017869",2017-05-24,"USD","ACH",-246,77.784,19134.9306,"Interactive Brokers",0.97311,0,0,18620,2
"123","20170524;101315","NOVARTIS AG-REG","1615110",2017-05-24,"CHF","VTE",-119,79.2,9424.8,"U1427234",1,9425,0,0,2
"124","20170524;101315","NOVARTIS AG-REG","1615110",2017-05-24,"CHF","ACH",-119,79.2,9424.8,"Interactive Brokers",1,0,0,9425,2
"125","20170524;101316","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-05-24,"CHF","VTE",-52,267.9,13930.8,"U1427234",1,13931,0,0,2
"126","20170524;101316","ROCHE HOLDING AG-GENUSSCHEIN","228954",2017-05-24,"CHF","ACH",-52,267.9,13930.8,"Interactive Brokers",1,0,0,13931,2
"127","20170524;101317","DASSAULT SYSTEMES SA","2953175",2017-05-24,"EUR","VTE",-153,82.18,12573.54,"U1427234",1.0917,0,13727,0,2
"128","20170524;101317","DASSAULT SYSTEMES SA","2953175",2017-05-24,"EUR","ACH",-153,82.18,12573.54,"Interactive Brokers",1.0917,0,0,13727,2
"129","20170524;101331","BT GROUP PLC","13672206",2017-05-24,"GBP","VTE",-2447,3.162,7736.1905,"U1427234",1.2626,0,9768,0,2
"130","20170524;101331","BT GROUP PLC","13672206",2017-05-24,"GBP","ACH",-2447,3.162,7736.1905,"Interactive Brokers",1.2626,0,0,9768,2
"131","20170726;093452","ABBVIE INC","118089500",2017-07-26,"USD","VTE",-78,72.341,5642.6058,"U1427234",0.95077,0,5365,0,2
"132","20170726;093452","ABBVIE INC","118089500",2017-07-26,"USD","ACH",-78,72.341,5642.6058,"Interactive Brokers",0.95077,0,0,5365,2
"133","20170726;093452","BAXTER INTERNATIONAL INC.","8111188",2017-07-26,"USD","VTE",-351,61.321,21523.671,"U1427234",0.95077,0,20464,0,2
"134","20170726;093452","BAXTER INTERNATIONAL INC.","8111188",2017-07-26,"USD","ACH",-351,61.321,21523.671,"Interactive Brokers",0.95077,0,0,20464,2
"135","20170726;093452","CATERPILLAR INC","5437",2017-07-26,"USD","VTE",-196,113.841,22312.8556,"U1427234",0.95077,0,21214,0,2
"136","20170726;093452","CATERPILLAR INC","5437",2017-07-26,"USD","ACH",-196,113.841,22312.8556,"Interactive Brokers",0.95077,0,0,21214,2
"137","20170726;093452","DARDEN RESTAURANTS INC","661440",2017-07-26,"USD","VTE",-182,86.591,15759.562,"U1427234",0.95077,0,14984,0,2
"138","20170726;093452","DARDEN RESTAURANTS INC","661440",2017-07-26,"USD","ACH",-182,86.591,15759.562,"Interactive Brokers",0.95077,0,0,14984,2
